"LBXD05LA.Code.or.Value","LBXD05LA.Value.Description","LBXD05LA.Count","LBXD05LA.Cumulative","LBXD05LA.Skip.to.Item"
"1.9 to 799","Range of Values",1220,1220,NA
".","Missing",1327,2547,NA
