"DR2_300.Code.or.Value","DR2_300.Value.Description","DR2_300.Count","DR2_300.Cumulative","DR2_300.Skip.to.Item"
"1","Much more than usual",436,436,NA
"2","Usual",6237,6673,NA
"3","Much less than usual",903,7576,NA
"7","Refused",0,7576,NA
"9","Don't know",39,7615,NA
".","Missing",2198,9813,NA
