"MCQ240s.Code.or.Value","MCQ240s.Value.Description","MCQ240s.Count","MCQ240s.Cumulative","MCQ240s.Skip.to.Item"
"27 to 58","Range of Values",12,12,NA
"80","80 years or older",0,12,NA
"77777","Refused",0,12,NA
"99999","Don't know",0,12,NA
".","Missing",9352,9364,NA
