"LBXPFOA.Code.or.Value","LBXPFOA.Value.Description","LBXPFOA.Count","LBXPFOA.Cumulative","LBXPFOA.Skip.to.Item"
"0.07 to 43","Range of Values",1904,1904,NA
".","Missing",273,2177,NA
