"LBXPFOA.Code.or.Value","LBXPFOA.Value.Description","LBXPFOA.Count","LBXPFOA.Cumulative","LBXPFOA.Skip.to.Item"
"0.07 to 40","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
