"OPDSAVN.Code.or.Value","OPDSAVN.Value.Description","OPDSAVN.Count","OPDSAVN.Cumulative","OPDSAVN.Skip.to.Item"
"0","No",1960,1960,NA
"1","Questionable",335,2295,NA
"2","Yes",145,2440,NA
".","Missing",494,2934,NA
