"LBXD03LA.Code.or.Value","LBXD03LA.Value.Description","LBXD03LA.Count","LBXD03LA.Cumulative","LBXD03LA.Skip.to.Item"
"1.4 to 314","Range of Values",1234,1234,NA
".","Missing",1313,2547,NA
