"WBXA068.Code.or.Value","WBXA068.Value.Description","WBXA068.Count","WBXA068.Cumulative","WBXA068.Skip.to.Item"
"-1.0608 to 0.9996","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
