"WTSHM20.Code.or.Value","WTSHM20.Value.Description","WTSHM20.Count","WTSHM20.Cumulative","WTSHM20.Skip.to.Item"
"0.0000000 to 742064.4742700","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
