"RFXT097.Code.or.Value","RFXT097.Value.Description","RFXT097.Count","RFXT097.Cumulative","RFXT097.Skip.to.Item"
"840 to 849","Range of Values",33692,33692,NA
".","Missing",29,33721,NA
