"DXXRLBMD.Code.or.Value","DXXRLBMD.Value.Description","DXXRLBMD.Count","DXXRLBMD.Cumulative","DXXRLBMD.Skip.to.Item"
"0.482 to 2.91","Range of Values",5295,5295,NA
".","Missing",738,6033,NA
