"MCQ240E.Code.or.Value","MCQ240E.Value.Description","MCQ240E.Count","MCQ240E.Cumulative","MCQ240E.Skip.to.Item"
"13 to 77","Range of Values",91,91,NA
"80","80 years or older",4,95,NA
"77777","Refused",0,95,NA
"99999","Don't know",0,95,NA
".","Missing",10014,10109,NA
