"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 120","Range of Values",4291,4291,NA
"666","No response",6,4297,NA
"888","Could not obtain",29,4326,NA
".","Missing",256,4582,NA
