"OPXSGLAU.Code.or.Value","OPXSGLAU.Value.Description","OPXSGLAU.Count","OPXSGLAU.Cumulative","OPXSGLAU.Skip.to.Item"
"0","No",192,192,NA
"1","Possible",50,242,NA
"2","Probable",34,276,NA
"3","Definite",11,287,NA
"4","Ungradable",10,297,NA
".","Missing",2637,2934,NA
