"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"0 to 291188.07353","Range of Values",1489,1489,NA
".","Missing",0,1489,NA
