"BPXSY2.Code.or.Value","BPXSY2.Value.Description","BPXSY2.Count","BPXSY2.Cumulative","BPXSY2.Skip.to.Item"
"72 to 232","Range of Values",6265,6265,NA
".","Missing",3685,9950,NA
