"KIQ220.Code.or.Value","KIQ220.Value.Description","KIQ220.Count","KIQ220.Cumulative","KIQ220.Skip.to.Item"
"41 to 89","Range of Values",84,84,NA
"77777","Refused",0,84,NA
"99999","Don't know",1,85,NA
".","Missing",4795,4880,NA
