"OSQ090h.Code.or.Value","OSQ090h.Value.Description","OSQ090h.Count","OSQ090h.Cumulative","OSQ090h.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",0,2,NA
"7","Refused",0,2,NA
"9","Don't know",0,2,NA
".","Missing",3813,3815,NA
