"PFQ050.Code.or.Value","PFQ050.Value.Description","PFQ050.Count","PFQ050.Cumulative","PFQ050.Skip.to.Item"
"1","Yes",547,547,NA
"2","No",46,593,NA
"7","Refused",0,593,NA
"9","Don't know",3,596,NA
".","Missing",8897,9493,NA
