"DTQ060U.Code.or.Value","DTQ060U.Value.Description","DTQ060U.Count","DTQ060U.Cumulative","DTQ060U.Skip.to.Item"
"1","Day",1166,1166,NA
"2","Week",614,1780,NA
"3","Month",1226,3006,NA
"7","Refused",1,3007,NA
"9","Don't know",5,3012,NA
".","Missing",5529,8541,NA
