"AUDTYL39.Code.or.Value","AUDTYL39.Value.Description","AUDTYL39.Count","AUDTYL39.Cumulative","AUDTYL39.Skip.to.Item"
"0 to 2.75","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
