"BIXC023K.Code.or.Value","BIXC023K.Value.Description","BIXC023K.Count","BIXC023K.Cumulative","BIXC023K.Skip.to.Item"
"21.04 to 135.47","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
