"URDTTCLC.Code.or.Value","URDTTCLC.Value.Description","URDTTCLC.Count","URDTTCLC.Cumulative","URDTTCLC.Skip.to.Item"
"0","At or above the detection limit",1221,1221,NA
"1","Below lower detection limit",1948,3169,NA
".","Missing",148,3317,NA
