"DR2IP226.Code.or.Value","DR2IP226.Value.Description","DR2IP226.Count","DR2IP226.Cumulative","DR2IP226.Skip.to.Item"
"0 to 4.3","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
