"OCQ560.Code.or.Value","OCQ560.Value.Description","OCQ560.Count","OCQ560.Cumulative","OCQ560.Skip.to.Item"
"0 to 60","Range of Values",1394,1394,NA
"7777","Refused",0,1394,NA
"9999","Don't know",6,1400,NA
".","Missing",5146,6546,NA
