"OPDSAREX.Code.or.Value","OPDSAREX.Value.Description","OPDSAREX.Count","OPDSAREX.Cumulative","OPDSAREX.Skip.to.Item"
"0","No",3109,3109,NA
"1","Yes",71,3180,NA
".","Missing",683,3863,NA
