"DR1CCMTX.Code.or.Value","DR1CCMTX.Value.Description","DR1CCMTX.Count","DR1CCMTX.Cumulative","DR1CCMTX.Skip.to.Item"
"0","Non-combination food",73994,73994,NA
"1","Beverage w/ additions",9901,83895,NA
"2","Cereal w/ additions",4887,88782,NA
"3","Bread/baked products w/ additions",4934,93716,NA
"4","Salad",4495,98211,NA
"5","Sandwiches",8476,106687,NA
"6","Soup",682,107369,NA
"7","Frozen meals",41,107410,NA
"8","Ice cream/frozen yogurt w/ additions",442,107852,NA
"9","Dried beans and vegetable w/ additions",3180,111032,NA
"10","Fruit w/ additions",698,111730,NA
"11","Tortilla products",1966,113696,NA
"12","Meat, poultry, fish",2639,116335,NA
"13","LunchablesÂ®",171,116506,NA
"14","Chips w/ additions",702,117208,NA
"90","Other mixtures",4273,121481,NA
".","Missing",0,121481,NA
