"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"6 to 678","Range of Values",3244,3244,NA
".","Missing",73,3317,NA
