"PUQ100.Code.or.Value","PUQ100.Value.Description","PUQ100.Count","PUQ100.Cumulative","PUQ100.Skip.to.Item"
"1","Yes",716,716,NA
"2","No",6439,7155,NA
"7","Refused",0,7155,NA
"9","Don't know",43,7198,NA
".","Missing",623,7821,NA
