"DRD350FQ.Code.or.Value","DRD350FQ.Value.Description","DRD350FQ.Count","DRD350FQ.Cumulative","DRD350FQ.Skip.to.Item"
"1 to 20","Range of Values",381,381,NA
".","Missing",9872,10253,NA
