"DS2TMAGN.Code.or.Value","DS2TMAGN.Value.Description","DS2TMAGN.Count","DS2TMAGN.Cumulative","DS2TMAGN.Skip.to.Item"
"0.5 to 2910","Range of Values",1250,1250,NA
".","Missing",8088,9338,NA
