"PFD069I.Code.or.Value","PFD069I.Value.Description","PFD069I.Count","PFD069I.Cumulative","PFD069I.Skip.to.Item"
"14 to 29200","Range of Values",125,125,NA
"66666","Since birth",3,128,NA
"77777","Refused",0,128,NA
"99999","Don't know",2,130,NA
".","Missing",10340,10470,NA
