"DR1TFOLA.Code.or.Value","DR1TFOLA.Value.Description","DR1TFOLA.Count","DR1TFOLA.Cumulative","DR1TFOLA.Skip.to.Item"
"0 to 3927","Range of Values",9169,9169,NA
".","Missing",781,9950,NA
