"LBCMIRLA.Code.or.Value","LBCMIRLA.Value.Description","LBCMIRLA.Count","LBCMIRLA.Cumulative","LBCMIRLA.Skip.to.Item"
"0.47 to 61.01","Range of Values",247,247,NA
".","Missing",0,247,NA
