"LBXSF3SI.Code.or.Value","LBXSF3SI.Value.Description","LBXSF3SI.Count","LBXSF3SI.Cumulative","LBXSF3SI.Skip.to.Item"
"0.141 to 17.3","Range of Values",8454,8454,NA
".","Missing",968,9422,NA
