"WTSPP22.Code.or.Value","WTSPP22.Value.Description","WTSPP22.Count","WTSPP22.Cumulative","WTSPP22.Skip.to.Item"
"0 to 836515.16652","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
