"LBDLDL.Code.or.Value","LBDLDL.Value.Description","LBDLDL.Count","LBDLDL.Cumulative","LBDLDL.Skip.to.Item"
"23 to 320","Range of Values",3171,3171,NA
".","Missing",744,3915,NA
