"INQ244.Code.or.Value","INQ244.Value.Description","INQ244.Count","INQ244.Cumulative","INQ244.Skip.to.Item"
"1","Yes",599,599,"End of Section"
"2","No",4911,5510,""
"7","Refused",110,5620,"End of Section"
"9","Don't know",52,5672,"End of Section"
".","Missing",4865,10537,""
