"BIXS016K.Code.or.Value","BIXS016K.Value.Description","BIXS016K.Count","BIXS016K.Cumulative","BIXS016K.Skip.to.Item"
"245.91 to 1049.2","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
