"DUQ130.Code.or.Value","DUQ130.Value.Description","DUQ130.Count","DUQ130.Cumulative","DUQ130.Skip.to.Item"
"0 to 80","Range of Values",50,50,NA
"777","Refused",1,51,NA
"999","Don't know",0,51,NA
".","Missing",2787,2838,NA
