"WTINT2YR.Code.or.Value","WTINT2YR.Value.Description","WTINT2YR.Count","WTINT2YR.Cumulative","WTINT2YR.Skip.to.Item"
"3697.772098 to 167884.54371","Range of Values",10175,10175,NA
".","Missing",0,10175,NA
