"URDUCDLC.Code.or.Value","URDUCDLC.Value.Description","URDUCDLC.Count","URDUCDLC.Cumulative","URDUCDLC.Skip.to.Item"
"0","At or above the detection limit",2361,2361,NA
"1","Below lower detection limit",266,2627,NA
".","Missing",93,2720,NA
