"DSQTCHL.Code.or.Value","DSQTCHL.Value.Description","DSQTCHL.Count","DSQTCHL.Cumulative","DSQTCHL.Skip.to.Item"
"0 to 668","Range of Values",782,782,NA
".","Missing",9755,10537,NA
