"SMD100TR.Code.or.Value","SMD100TR.Value.Description","SMD100TR.Count","SMD100TR.Cumulative","SMD100TR.Skip.to.Item"
"1 to 25","Range of Values",934,934,NA
".","Missing",6211,7145,NA
