"ENXTR4Q.Code.or.Value","ENXTR4Q.Value.Description","ENXTR4Q.Count","ENXTR4Q.Cumulative","ENXTR4Q.Skip.to.Item"
"5 to 171","Range of Values",227,227,NA
".","Missing",7516,7743,NA
