"DR1TFA.Code.or.Value","DR1TFA.Value.Description","DR1TFA.Count","DR1TFA.Cumulative","DR1TFA.Skip.to.Item"
"0 to 2334","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
