"URDOPMLC.Code.or.Value","URDOPMLC.Value.Description","URDOPMLC.Count","URDOPMLC.Cumulative","URDOPMLC.Skip.to.Item"
"0","At or above the detection limit",1998,1998,NA
"1","Below lower detection limit",725,2723,NA
".","Missing",108,2831,NA
