"URDPPBLC.Code.or.Value","URDPPBLC.Value.Description","URDPPBLC.Count","URDPPBLC.Cumulative","URDPPBLC.Skip.to.Item"
"0","At or above the detection limit",2344,2344,NA
"1","Below lower detection limit",145,2489,NA
".","Missing",105,2594,NA
