"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"0.6 to 66.9","Range of Values",7944,7944,NA
".","Missing",1012,8956,NA
