"LBDPFUAL.Code.or.Value","LBDPFUAL.Value.Description","LBDPFUAL.Count","LBDPFUAL.Cumulative","LBDPFUAL.Skip.to.Item"
"0","At or above the detection limit",657,657,NA
"1","Below lower detection limit",1463,2120,NA
".","Missing",203,2323,NA
