"DUQ220U.Code.or.Value","DUQ220U.Value.Description","DUQ220U.Count","DUQ220U.Cumulative","DUQ220U.Skip.to.Item"
"1","Days",301,301,NA
"2","Weeks",87,388,NA
"3","Months",187,575,NA
"4","Years",1166,1741,NA
"7","Refused",32,1773,NA
"9","Don't know",38,1811,NA
".","Missing",2814,4625,NA
