"PFD069B.Code.or.Value","PFD069B.Value.Description","PFD069B.Count","PFD069B.Cumulative","PFD069B.Skip.to.Item"
"7 to 22630","Range of Values",675,675,NA
"66666","Since birth",10,685,NA
"77777","Refused",0,685,NA
"99999","Don't know",3,688,NA
".","Missing",8957,9645,NA
