"URXTRA.Code.or.Value","URXTRA.Value.Description","URXTRA.Count","URXTRA.Cumulative","URXTRA.Skip.to.Item"
"0.049 to 0.049","Range of Values",2250,2250,NA
".","Missing",362,2612,NA
