"LBXSF4SI.Code.or.Value","LBXSF4SI.Value.Description","LBXSF4SI.Count","LBXSF4SI.Cumulative","LBXSF4SI.Skip.to.Item"
"0.262 to 11.5","Range of Values",7478,7478,NA
".","Missing",1478,8956,NA
