"HCQ160.Code.or.Value","HCQ160.Value.Description","HCQ160.Count","HCQ160.Cumulative","HCQ160.Skip.to.Item"
"1","True",28,28,NA
"2","False",4,32,NA
"7","Refused",0,32,NA
"9","Don't know",8,40,NA
".","Missing",47,87,NA
