"BIXS200K.Code.or.Value","BIXS200K.Value.Description","BIXS200K.Count","BIXS200K.Cumulative","BIXS200K.Skip.to.Item"
"73.81 to 853.86","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
