"DXXANTOM.Code.or.Value","DXXANTOM.Value.Description","DXXANTOM.Count","DXXANTOM.Cumulative","DXXANTOM.Skip.to.Item"
"995.2 to 13220.4","Range of Values",6235,6235,NA
".","Missing",1421,7656,NA
