"DR1SKY.Code.or.Value","DR1SKY.Value.Description","DR1SKY.Count","DR1SKY.Cumulative","DR1SKY.Skip.to.Item"
"1","Ordinary, sea, seasoned, or other flavored salt",1320,1320,NA
"2","Lite salt",83,1403,NA
"3","Salt substitute",29,1432,NA
"91","Other",0,1432,NA
"99","Don't know",16,1448,NA
".","Missing",8365,9813,NA
