"OHXRRES.Code.or.Value","OHXRRES.Value.Description","OHXRRES.Count","OHXRRES.Cumulative","OHXRRES.Skip.to.Item"
"1","Root restoration(s) detected",257,257,NA
"2","No root restoration(s) detected",3395,3652,NA
"9","Cannot be assessed",1,3653,NA
".","Missing",4934,8587,NA
