"OHD26LAS.Code.or.Value","OHD26LAS.Value.Description","OHD26LAS.Count","OHD26LAS.Cumulative","OHD26LAS.Skip.to.Item"
"0 to 15","Range of Values",1582,1582,NA
"99","Calculation cannot be determined",201,1783,NA
".","Missing",4975,6758,NA
