"URDATCLC.Code.or.Value","URDATCLC.Value.Description","URDATCLC.Count","URDATCLC.Cumulative","URDATCLC.Skip.to.Item"
"0","At or above the detection limit",2149,2149,NA
"1","Below lower detection limit",91,2240,NA
".","Missing",109,2349,NA
