"DSQILYCO.Code.or.Value","DSQILYCO.Value.Description","DSQILYCO.Count","DSQILYCO.Cumulative","DSQILYCO.Skip.to.Item"
"100 to 30000","Range of Values",591,591,NA
".","Missing",9393,9984,NA
