"WTSCI38.Code.or.Value","WTSCI38.Value.Description","WTSCI38.Count","WTSCI38.Cumulative","WTSCI38.Skip.to.Item"
"0 to 465258.25808","Range of Values",727,727,NA
".","Missing",51,778,NA
