"OPXDRCDR.Code.or.Value","OPXDRCDR.Value.Description","OPXDRCDR.Count","OPXDRCDR.Cumulative","OPXDRCDR.Skip.to.Item"
"0 to 1","Range of Values",296,296,NA
"2","Ungradable",6,302,NA
".","Missing",2632,2934,NA
